Latitude,Longitude,Comentários
-22.6691143,-44.8513169,01/05/2016 de madrugada
-22.6764516,-44.8589591,12/05/2016 a tarde
-22.6436729,-44.5819381,23/05/2016 de madrugada
-23.376241,-45.443494,16/05/2016 a noite
-23.2660565,-45.9609689,12/05/2016 a noite
-22.5802418,-44.959172,02/05/2016 a tarde
-23.574221,-45.32354050000001,03/05/2016 em hora incerta
-22.5676448,-44.9331609,03/05/2016 de madrugada
-22.5837864,-44.9749333,04/05/2016 pela manhã
-23.2081057,-46.1548501,16/05/2016 a noite
-22.5106749,-44.8990246,06/05/2016 de madrugada
-22.6650996,-45.0116583,06/05/2016 de madrugada
-22.5835158,-44.9724649,11/05/2016 pela manhã
-23.2217383,-45.8850486,13/05/2016 de madrugada
-22.6150081,-45.1838324,31/05/2016 de madrugada
-23.0226769,-45.5585768,02/05/2016 a noite
-22.7145749,-45.732125,24/05/2016 de madrugada
-23.0376463,-45.6190737,13/05/2016 de madrugada
-22.9927161,-45.5622562,17/05/2016 de madrugada
-23.1784668,-45.8874323,11/05/2016 pela manhã
-23.2218634,-45.9065898,24/05/2016 pela manhã
-23.182872,-45.87128449999999,12/05/2016 pela manhã
-23.1873801,-45.874363,13/05/2016 a noite
-23.1856322,-45.8717341,13/05/2016 pela manhã
-23.3905441,-45.65965449999999,01/05/2016 de madrugada
-23.1855331,-45.86847909999999,17/05/2016 pela manhã
-23.0738279,-44.9551631,16/05/2016 a noite
-23.2012564,-45.8557864,18/05/2016 pela manhã
-23.1893913,-45.8741403,25/05/2016 a tarde
-22.7694163,-45.20727840000001,23/05/2016 a tarde
-22.926431,-45.4633622,24/05/2016 pela manhã
-23.1740283,-45.8472411,02/05/2016 de madrugada
-23.1736872,-45.8489628,02/05/2016 de madrugada
-23.1640462,-45.902586,05/05/2016 pela manhã
-23.1640462,-45.902586,05/05/2016 pela manhã
-22.6650996,-45.0116583,06/05/2016 de madrugada
-22.6686368,-45.01306779999999,06/05/2016 pela manhã
-23.1531005,-45.9157325,11/05/2016 pela manhã
-22.6702046,-44.998344,06/05/2016 a tarde
-23.1610123,-45.91601319999999,11/05/2016 pela manhã
-23.1114937,-45.9144644,12/05/2016 pela manhã
-23.1770157,-45.8733021,09/05/2016 pela manhã
-23.1605066,-45.8996688,16/05/2016 pela manhã
-23.2009345,-45.85962929999999,12/05/2016 de madrugada
-23.1733198,-45.8797071,18/05/2016 a tarde
-22.5789925,-44.9589365,01/05/2016 pela manhã
-23.2970616,-45.9826559,13/05/2016 a tarde
-23.2145211,-46.0048871,25/05/2016 a tarde
-23.1593206,-45.89362140000001,30/05/2016 a noite
-22.5800752,-44.9751351,14/05/2016 a noite
-23.3128123,-46.0101772,24/05/2016 em hora incerta
-22.5725033,-44.956196,20/05/2016 a tarde
-22.5864591,-44.9700666,22/05/2016 a noite
-22.8183172,-45.1963657,07/05/2016 a tarde
-22.6650996,-45.0116583,16/05/2016 a noite
-23.0446812,-45.562047,06/05/2016 de madrugada
-22.8328357,-45.2173204,25/05/2016 de madrugada
-22.8150148,-45.1971877,26/05/2016 a noite
-23.0279854,-45.57998449999999,11/05/2016 pela manhã
-22.8160447,-45.1853372,29/05/2016 a tarde
-22.9906911,-45.5606157,05/05/2016 de madrugada
-22.8065216,-45.1808948,29/05/2016 de madrugada
-22.9576323,-45.5479616,05/05/2016 a noite
-22.9687936,-45.5565341,06/05/2016 pela manhã
-23.0270838,-45.5319825,20/05/2016 pela manhã
-23.2927243,-45.9658843,03/05/2016 em hora incerta
-23.2986893,-45.9737433,04/05/2016 de madrugada
-22.9878213,-45.5490182,17/05/2016 de madrugada
-23.015644,-45.5784946,05/05/2016 de madrugada
-23.0237975,-45.5539988,05/05/2016 a tarde
-23.0368426,-45.6186081,04/05/2016 pela manhã
-23.0238296,-45.5511775,04/05/2016 pela manhã
-23.0391728,-45.5745618,04/05/2016 pela manhã
-22.9988346,-45.5503112,10/05/2016 pela manhã
