Latitude,Longitude,Comentários
-23.6877,-45.4464019,21/01/2016 em hora incerta
-23.2258163,-45.8750381,22/01/2016 a noite
-23.1942488,-45.8914213,27/01/2016 pela manhã
-23.62909,-45.4153308,23/01/2016 em hora incerta
-23.1933713,-45.8901531,27/01/2016 a tarde
-23.2027804,-45.9009882,27/01/2016 a noite
-23.6236872,-45.4159899,23/01/2016 de madrugada
-23.4532365,-45.07431039999999,17/01/2016 a tarde
-23.6886063,-45.4315148,23/01/2016 a noite
-23.172211,-45.8138334,24/01/2016 de madrugada
-23.2298339,-45.89421249999999,24/01/2016 a tarde
-23.1742829,-45.8777947,29/01/2016 de madrugada
-23.4560907,-45.0609129,18/01/2016 de madrugada
-23.2200723,-45.8951314,25/01/2016 em hora incerta
-23.292873,-45.8980313,26/01/2016 pela manhã
-23.273556,-45.8916529,26/01/2016 de madrugada
-23.1704375,-45.7788881,26/01/2016 a noite
-23.229229,-45.88715939999999,26/01/2016 pela manhã
-23.235248,-45.8836281,27/01/2016 a tarde
-23.2352623,-45.883365,28/01/2016 a noite
-23.3989628,-45.01011080000001,22/01/2016 pela manhã
-23.2822618,-45.9000236,28/01/2016 pela manhã
-23.2722528,-45.89193280000001,28/01/2016 a noite
-23.2440784,-45.843203,29/01/2016 de madrugada
-23.2003338,-45.88894200000001,29/01/2016 pela manhã
-23.4336578,-45.0838481,24/01/2016 a tarde
-23.2621371,-45.9121922,30/01/2016 de madrugada
-23.234284,-45.9161972,30/01/2016 a tarde
-23.6038687,-45.3509344,31/01/2016 a tarde
-23.2509109,-45.9040474,31/01/2016 pela manhã
-23.2709723,-45.8867604,31/01/2016 pela manhã
-23.2770769,-45.8946677,31/01/2016 a noite
-23.3995245,-45.0712346,29/01/2016 pela manhã
-23.4846898,-45.105691,29/01/2016 em hora incerta
-23.4652294,-45.0614141,30/01/2016 a tarde
-23.4652294,-45.0614141,30/01/2016 a tarde
-23.2819947,-45.8994335,12/01/2016 em hora incerta
-23.1584663,-45.8909219,19/01/2016 em hora incerta
-23.09953,-45.7074247,21/01/2016 em hora incerta
-23.2327689,-45.8943484,24/01/2016 em hora incerta
-23.2738483,-45.8650076,27/01/2016 em hora incerta
-23.1166079,-45.7017022,28/01/2016 em hora incerta
-23.0981276,-45.9176114,03/01/2016 pela manhã
-23.219756,-45.8883429,03/01/2016 a tarde
-23.1631248,-45.9001858,04/01/2016 pela manhã
-23.1790171,-45.853608,05/01/2016 a noite
-23.2308803,-45.8922401,05/01/2016 pela manhã
-23.2320696,-45.9138843,07/01/2016 a noite
-23.1032359,-45.7134048,08/01/2016 pela manhã
-22.9632747,-45.5472737,08/01/2016 pela manhã
-23.4244616,-45.0753314,08/01/2016 a tarde
-23.2191469,-45.8938497,08/01/2016 a noite
-22.929717,-45.4546585,09/01/2016 a noite
